booking_id,booking_date,persona,user_id,source,destination_city,craft_interest,participants,price_per_person,status,gross_booking_value,artisan_payout,rating,repeat_customer,assigned_team
CRB5029,2026-07-01,Sofia Martinez,u1146,Instagram,Udaipur,Weaving,6,2500,Completed,15000,12000.0,4.6,No,Traveler Success
CRB5030,2026-07-01,Sofia Martinez,u1151,Google Search,Bangalore,Weaving,2,3000,Completed,6000,4800.0,3.8,Yes,Revenue / Enterprise Team
CRB5031,2026-07-01,Priya Sharma,u1165,Direct,Udaipur,Warli Painting,2,3500,Completed,7000,5600.0,4.9,No,Traveler Success
CRB5032,2026-07-01,Sofia Martinez,u1166,Travel Blog,Udaipur,Pottery,6,1500,Completed,9000,7200.0,3.9,Yes,Revenue / Enterprise Team
CRB5033,2026-07-01,Priya Sharma,u1170,Direct,Jaipur,Weaving,4,3500,Completed,14000,11200.0,3.8,No,Traveler Success
CRB5034,2026-07-01,Sofia Martinez,u1173,Direct,Bangalore,Block Printing,4,2200,Completed,8800,7040.0,5.0,No,Revenue / Enterprise Team
CRB5035,2026-07-01,Mark Thompson,u1174,Instagram,Udaipur,Blue Pottery,2,1800,Completed,3600,2880.0,4.5,No,Revenue / Enterprise Team
CRB5036,2026-07-01,Rahul Mehta,u1179,Google Search,Udaipur,Block Printing,6,3500,Completed,21000,16800.0,4.9,No,Revenue / Enterprise Team
CRB5037,2026-07-01,Rahul Mehta,u1187,Referral,Varanasi,Block Printing,2,1800,Completed,3600,2880.0,3.9,No,Customer Success
CRB5038,2026-07-01,Rahul Mehta,u1189,Referral,Bangalore,Warli Painting,1,3000,Completed,3000,2400.0,4.3,No,Customer Success
CRB5039,2026-07-01,Sofia Martinez,u1194,Google Search,Khurja,Blue Pottery,6,1500,Completed,9000,7200.0,4.3,Yes,Customer Success
CRB5040,2026-07-01,Ananya Reddy,u1199,Referral,Khurja,Weaving,3,3500,Completed,10500,8400.0,4.8,No,Traveler Success
CRB5041,2026-07-02,Mark Thompson,u1210,Referral,Jaipur,Warli Painting,12,2500,Completed,30000,24000.0,4.2,No,Customer Success
CRB5042,2026-07-02,Rahul Mehta,u1215,Travel Blog,Khurja,Warli Painting,6,3500,Completed,21000,16800.0,4.9,Yes,Revenue / Enterprise Team
CRB5043,2026-07-02,Rahul Mehta,u1226,Travel Blog,Khurja,Pottery,12,3500,Completed,42000,33600.0,4.7,Yes,Customer Success
CRB5044,2026-07-02,Rahul Mehta,u1232,Travel Blog,Khurja,Blue Pottery,4,1800,Completed,7200,5760.0,4.7,No,Traveler Success
CRB5045,2026-07-02,Priya Sharma,u1233,Referral,Khurja,Weaving,12,1500,Completed,18000,14400.0,4.5,No,Revenue / Enterprise Team
CRB5046,2026-07-02,Ananya Reddy,u1237,Direct,Jaipur,Blue Pottery,6,2000,Completed,12000,9600.0,3.9,Yes,Revenue / Enterprise Team
CRB5047,2026-07-02,Rahul Mehta,u1240,Instagram,Udaipur,Block Printing,1,2000,Cancelled,2000,0,,No,Revenue / Enterprise Team
CRB5048,2026-07-02,Sofia Martinez,u1241,Travel Blog,Varanasi,Block Printing,1,3500,Completed,3500,2800.0,4.8,No,Revenue / Enterprise Team
CRB5049,2026-07-02,Ananya Reddy,u1243,Travel Blog,Varanasi,Warli Painting,10,2500,No-show,25000,0,,No,Customer Success
CRB5050,2026-07-02,Rahul Mehta,u1250,Referral,Varanasi,Blue Pottery,12,2000,Completed,24000,19200.0,4.5,No,Customer Success
CRB5051,2026-07-02,Ananya Reddy,u1251,Referral,Varanasi,Pottery,10,2500,Completed,25000,20000.0,4.6,No,Revenue / Enterprise Team
CRB5052,2026-07-02,Mark Thompson,u1252,Travel Blog,Khurja,Block Printing,12,1500,Completed,18000,14400.0,5.0,Yes,Revenue / Enterprise Team
CRB5053,2026-07-02,Mark Thompson,u1260,Direct,Bangalore,Pottery,1,3500,Completed,3500,2800.0,4.0,No,Customer Success
CRB5054,2026-07-02,Mark Thompson,u1268,Travel Blog,Khurja,Blue Pottery,12,2200,Completed,26400,21120.0,4.5,No,Revenue / Enterprise Team
CRB5055,2026-07-02,Ananya Reddy,u1270,Instagram,Varanasi,Pottery,2,1500,Completed,3000,2400.0,4.5,No,Customer Success
CRB5056,2026-07-02,Sofia Martinez,u1273,Instagram,Udaipur,Warli Painting,1,1500,Completed,1500,1200.0,4.8,No,Revenue / Enterprise Team
CRB5057,2026-07-02,Mark Thompson,u1274,Instagram,Jaipur,Blue Pottery,10,2000,Completed,20000,16000.0,4.5,No,Traveler Success
CRB5058,2026-07-02,Rahul Mehta,u1277,Referral,Bangalore,Weaving,1,1500,Completed,1500,1200.0,4.8,No,Traveler Success
CRB5059,2026-07-02,Rahul Mehta,u1286,Google Search,Jaipur,Warli Painting,6,2200,Completed,13200,10560.0,4.3,No,Revenue / Enterprise Team
CRB5060,2026-07-02,Sofia Martinez,u1290,Referral,Bangalore,Blue Pottery,3,2000,Completed,6000,4800.0,4.6,No,Customer Success
CRB5061,2026-07-02,Priya Sharma,u1300,Referral,Varanasi,Block Printing,1,1800,Completed,1800,1440.0,4.9,No,Customer Success
CRB5062,2026-07-02,Rahul Mehta,u1310,Referral,Varanasi,Warli Painting,3,1500,Completed,4500,3600.0,4.0,No,Revenue / Enterprise Team
CRB5063,2026-07-02,Rahul Mehta,u1311,Instagram,Varanasi,Weaving,2,2200,Completed,4400,3520.0,4.3,No,Revenue / Enterprise Team
CRB5064,2026-07-02,Priya Sharma,u1312,Google Search,Khurja,Warli Painting,6,1500,Cancelled,9000,0,,Yes,Revenue / Enterprise Team
CRB5065,2026-07-02,Priya Sharma,u1317,Referral,Jaipur,Blue Pottery,2,1500,Completed,3000,2400.0,4.4,Yes,Customer Success
CRB5066,2026-07-02,Sofia Martinez,u1318,Instagram,Varanasi,Blue Pottery,10,2000,No-show,20000,0,,No,Customer Success
CRB5067,2026-07-02,Priya Sharma,u1322,Travel Blog,Bangalore,Blue Pottery,4,1800,Cancelled,7200,0,,Yes,Revenue / Enterprise Team
CRB5068,2026-07-02,Priya Sharma,u1323,Travel Blog,Bangalore,Block Printing,12,2500,Completed,30000,24000.0,4.1,No,Customer Success
CRB5069,2026-07-02,Priya Sharma,u1333,Direct,Udaipur,Blue Pottery,3,2000,Completed,6000,4800.0,4.8,No,Traveler Success
CRB5070,2026-07-02,Sofia Martinez,u1343,Travel Blog,Varanasi,Pottery,3,2200,Completed,6600,5280.0,4.2,No,Customer Success
CRB5071,2026-07-02,Sofia Martinez,u1352,Google Search,Jaipur,Block Printing,4,3500,Completed,14000,11200.0,3.9,No,Revenue / Enterprise Team
CRB5072,2026-07-02,Mark Thompson,u1357,Google Search,Khurja,Warli Painting,4,2500,Completed,10000,8000.0,4.9,Yes,Traveler Success
CRB5073,2026-07-02,Ananya Reddy,u1365,Travel Blog,Khurja,Warli Painting,3,3000,Completed,9000,7200.0,4.3,No,Customer Success
CRB5074,2026-07-02,Rahul Mehta,u1367,Referral,Varanasi,Block Printing,10,1500,Completed,15000,12000.0,3.9,No,Customer Success
CRB5075,2026-07-02,Ananya Reddy,u1370,Google Search,Varanasi,Weaving,4,2200,Completed,8800,7040.0,4.2,No,Revenue / Enterprise Team
CRB5076,2026-07-02,Sofia Martinez,u1384,Direct,Bangalore,Block Printing,2,3000,Completed,6000,4800.0,4.6,No,Customer Success
CRB5077,2026-07-02,Priya Sharma,u1386,Direct,Bangalore,Warli Painting,12,3500,Completed,42000,33600.0,4.0,No,Traveler Success
CRB5078,2026-07-02,Sofia Martinez,u1392,Google Search,Khurja,Warli Painting,12,1800,Completed,21600,17280.0,4.0,No,Traveler Success
CRB5079,2026-07-03,Sofia Martinez,u1399,Referral,Bangalore,Warli Painting,4,1500,Completed,6000,4800.0,4.4,No,Revenue / Enterprise Team
CRB5080,2026-07-03,Ananya Reddy,u1401,Google Search,Bangalore,Pottery,12,2500,Completed,30000,24000.0,3.8,No,Customer Success
CRB5081,2026-07-03,Rahul Mehta,u1405,Travel Blog,Bangalore,Blue Pottery,6,2500,Completed,15000,12000.0,4.7,No,Customer Success
CRB5082,2026-07-03,Ananya Reddy,u1406,Instagram,Khurja,Weaving,2,2200,Completed,4400,3520.0,4.8,No,Revenue / Enterprise Team
CRB5083,2026-07-03,Ananya Reddy,u1421,Travel Blog,Jaipur,Block Printing,10,1800,No-show,18000,0,,No,Traveler Success
CRB5084,2026-07-03,Mark Thompson,u1424,Google Search,Udaipur,Block Printing,2,2500,Completed,5000,4000.0,3.8,Yes,Customer Success
CRB5085,2026-07-03,Sofia Martinez,u1427,Google Search,Khurja,Block Printing,12,2000,Completed,24000,19200.0,4.0,No,Traveler Success
CRB5086,2026-07-03,Priya Sharma,u1429,Travel Blog,Varanasi,Blue Pottery,2,1800,Completed,3600,2880.0,4.5,No,Traveler Success
CRB5087,2026-07-03,Mark Thompson,u1431,Instagram,Khurja,Blue Pottery,2,2500,Completed,5000,4000.0,4.2,No,Customer Success
CRB5088,2026-07-03,Priya Sharma,u1432,Direct,Udaipur,Weaving,2,1500,Completed,3000,2400.0,4.1,No,Revenue / Enterprise Team
CRB5089,2026-07-03,Priya Sharma,u1434,Direct,Bangalore,Warli Painting,3,3500,Completed,10500,8400.0,4.5,No,Revenue / Enterprise Team
CRB5090,2026-07-03,Priya Sharma,u1443,Google Search,Varanasi,Pottery,2,1800,Completed,3600,2880.0,4.8,No,Traveler Success
CRB5091,2026-07-03,Sofia Martinez,u1446,Referral,Varanasi,Block Printing,1,1800,Completed,1800,1440.0,3.9,Yes,Customer Success
CRB5092,2026-07-03,Rahul Mehta,u1453,Referral,Jaipur,Pottery,1,1800,Completed,1800,1440.0,4.9,No,Revenue / Enterprise Team
CRB5093,2026-07-03,Mark Thompson,u1458,Google Search,Bangalore,Block Printing,10,1500,Completed,15000,12000.0,4.0,No,Customer Success
CRB5094,2026-07-03,Sofia Martinez,u1461,Instagram,Khurja,Weaving,2,1500,No-show,3000,0,,No,Traveler Success
CRB5095,2026-07-03,Rahul Mehta,u1468,Travel Blog,Jaipur,Blue Pottery,2,2000,Completed,4000,3200.0,3.8,No,Revenue / Enterprise Team
CRB5096,2026-07-03,Sofia Martinez,u1473,Direct,Bangalore,Weaving,3,1500,Completed,4500,3600.0,3.9,No,Revenue / Enterprise Team
CRB5097,2026-07-03,Ananya Reddy,u1474,Google Search,Khurja,Block Printing,1,3500,No-show,3500,0,,No,Customer Success
CRB5098,2026-07-03,Ananya Reddy,u1478,Travel Blog,Bangalore,Weaving,3,1500,Completed,4500,3600.0,4.9,No,Customer Success
CRB5099,2026-07-03,Sofia Martinez,u1489,Instagram,Varanasi,Blue Pottery,6,2000,Completed,12000,9600.0,3.9,No,Traveler Success
CRB5100,2026-07-03,Priya Sharma,u1492,Referral,Jaipur,Weaving,10,1800,Completed,18000,14400.0,4.9,No,Revenue / Enterprise Team
CRB5101,2026-07-03,Rahul Mehta,u1496,Referral,Varanasi,Weaving,12,1800,Completed,21600,17280.0,3.9,No,Traveler Success
CRB5102,2026-07-03,Priya Sharma,u1500,Referral,Udaipur,Weaving,4,1800,Completed,7200,5760.0,4.0,Yes,Revenue / Enterprise Team
CRB5103,2026-07-03,Ananya Reddy,u1506,Google Search,Khurja,Pottery,10,1800,No-show,18000,0,,No,Customer Success
CRB5104,2026-07-03,Priya Sharma,u1508,Referral,Bangalore,Blue Pottery,10,1500,Completed,15000,12000.0,4.5,Yes,Revenue / Enterprise Team
CRB5105,2026-07-03,Priya Sharma,u1516,Referral,Varanasi,Blue Pottery,10,3000,Completed,30000,24000.0,4.2,No,Traveler Success
CRB5106,2026-07-03,Ananya Reddy,u1524,Google Search,Khurja,Pottery,1,3500,Completed,3500,2800.0,3.8,No,Revenue / Enterprise Team
CRB5107,2026-07-03,Ananya Reddy,u1530,Instagram,Udaipur,Block Printing,4,2000,Completed,8000,6400.0,4.6,No,Revenue / Enterprise Team
CRB5108,2026-07-03,Ananya Reddy,u1532,Google Search,Jaipur,Blue Pottery,10,3000,Completed,30000,24000.0,4.5,No,Revenue / Enterprise Team
CRB5109,2026-07-03,Mark Thompson,u1536,Direct,Khurja,Weaving,4,2200,Completed,8800,7040.0,4.1,No,Traveler Success
CRB5110,2026-07-03,Mark Thompson,u1541,Travel Blog,Khurja,Weaving,6,3000,No-show,18000,0,,Yes,Traveler Success
CRB5111,2026-07-03,Priya Sharma,u1544,Travel Blog,Udaipur,Blue Pottery,6,1500,Completed,9000,7200.0,4.4,Yes,Revenue / Enterprise Team
CRB5112,2026-07-03,Sofia Martinez,u1545,Google Search,Khurja,Weaving,4,1800,Completed,7200,5760.0,4.9,No,Customer Success
CRB5113,2026-07-03,Priya Sharma,u1548,Google Search,Jaipur,Warli Painting,1,2200,Completed,2200,1760.0,4.4,Yes,Revenue / Enterprise Team
CRB5114,2026-07-03,Priya Sharma,u1551,Google Search,Jaipur,Weaving,2,2200,Completed,4400,3520.0,4.7,No,Traveler Success
CRB5115,2026-07-03,Mark Thompson,u1556,Instagram,Bangalore,Blue Pottery,2,2000,Completed,4000,3200.0,5.0,No,Traveler Success
CRB5116,2026-07-03,Mark Thompson,u1559,Instagram,Jaipur,Pottery,12,2500,Completed,30000,24000.0,4.2,No,Traveler Success
CRB5117,2026-07-03,Priya Sharma,u1574,Travel Blog,Jaipur,Blue Pottery,1,1500,Completed,1500,1200.0,4.5,No,Revenue / Enterprise Team
CRB5118,2026-07-03,Rahul Mehta,u1582,Google Search,Varanasi,Block Printing,2,3500,Completed,7000,5600.0,4.5,No,Customer Success
CRB5119,2026-07-03,Mark Thompson,u1594,Instagram,Bangalore,Block Printing,3,2000,Completed,6000,4800.0,4.1,No,Traveler Success
CRB5120,2026-07-03,Mark Thompson,u1599,Referral,Bangalore,Block Printing,12,3500,Completed,42000,33600.0,4.7,No,Revenue / Enterprise Team
CRB5121,2026-07-03,Sofia Martinez,u1601,Google Search,Khurja,Warli Painting,4,1800,Completed,7200,5760.0,3.8,No,Traveler Success
CRB5122,2026-07-03,Ananya Reddy,u1604,Instagram,Varanasi,Warli Painting,2,2200,Completed,4400,3520.0,4.2,No,Customer Success
CRB5123,2026-07-04,Sofia Martinez,u1612,Direct,Bangalore,Block Printing,3,3500,Completed,10500,8400.0,4.0,Yes,Revenue / Enterprise Team
CRB5124,2026-07-04,Mark Thompson,u1613,Google Search,Jaipur,Blue Pottery,2,3500,Completed,7000,5600.0,4.8,No,Customer Success
CRB5125,2026-07-04,Mark Thompson,u1618,Travel Blog,Udaipur,Blue Pottery,3,1800,Completed,5400,4320.0,4.8,No,Customer Success
CRB5126,2026-07-04,Mark Thompson,u1619,Referral,Jaipur,Warli Painting,10,2500,Completed,25000,20000.0,4.1,No,Customer Success
CRB5127,2026-07-04,Mark Thompson,u1622,Instagram,Bangalore,Blue Pottery,4,1500,Completed,6000,4800.0,4.9,No,Revenue / Enterprise Team
CRB5128,2026-07-04,Priya Sharma,u1629,Direct,Jaipur,Pottery,2,2500,Completed,5000,4000.0,4.6,Yes,Revenue / Enterprise Team
CRB5129,2026-07-04,Sofia Martinez,u1635,Direct,Khurja,Warli Painting,2,3000,Completed,6000,4800.0,3.8,No,Traveler Success
CRB5130,2026-07-04,Sofia Martinez,u1639,Referral,Varanasi,Warli Painting,6,2500,Completed,15000,12000.0,4.4,No,Revenue / Enterprise Team
CRB5131,2026-07-04,Mark Thompson,u1642,Google Search,Jaipur,Warli Painting,6,2500,Completed,15000,12000.0,4.1,Yes,Customer Success
CRB5132,2026-07-04,Ananya Reddy,u1650,Direct,Khurja,Warli Painting,6,2200,Completed,13200,10560.0,4.3,Yes,Traveler Success
CRB5133,2026-07-04,Priya Sharma,u1653,Instagram,Bangalore,Warli Painting,1,3500,Completed,3500,2800.0,4.3,No,Traveler Success
CRB5134,2026-07-04,Mark Thompson,u1659,Google Search,Varanasi,Blue Pottery,4,2000,Completed,8000,6400.0,4.2,No,Traveler Success
CRB5135,2026-07-04,Rahul Mehta,u1666,Instagram,Jaipur,Weaving,10,2200,Completed,22000,17600.0,4.7,Yes,Traveler Success
CRB5136,2026-07-04,Sofia Martinez,u1669,Direct,Khurja,Warli Painting,1,1800,Completed,1800,1440.0,4.3,No,Revenue / Enterprise Team
CRB5137,2026-07-04,Mark Thompson,u1670,Google Search,Bangalore,Block Printing,4,3000,Completed,12000,9600.0,4.2,No,Revenue / Enterprise Team
CRB5138,2026-07-04,Rahul Mehta,u1671,Google Search,Udaipur,Blue Pottery,2,2500,Completed,5000,4000.0,4.9,No,Revenue / Enterprise Team
CRB5139,2026-07-04,Ananya Reddy,u1676,Direct,Jaipur,Weaving,6,1500,Completed,9000,7200.0,4.2,No,Traveler Success
CRB5140,2026-07-04,Priya Sharma,u1677,Google Search,Udaipur,Pottery,3,1800,Completed,5400,4320.0,4.2,Yes,Traveler Success
CRB5141,2026-07-04,Mark Thompson,u1686,Direct,Varanasi,Pottery,6,2000,Completed,12000,9600.0,4.3,No,Customer Success
CRB5142,2026-07-04,Sofia Martinez,u1700,Travel Blog,Jaipur,Block Printing,4,3000,Completed,12000,9600.0,4.1,No,Revenue / Enterprise Team
CRB5143,2026-07-04,Ananya Reddy,u1701,Direct,Bangalore,Blue Pottery,3,3000,Completed,9000,7200.0,4.7,No,Customer Success
CRB5144,2026-07-04,Mark Thompson,u1706,Google Search,Khurja,Warli Painting,6,3500,Completed,21000,16800.0,4.4,No,Traveler Success
CRB5145,2026-07-04,Ananya Reddy,u1709,Referral,Udaipur,Warli Painting,10,2000,Completed,20000,16000.0,4.4,No,Customer Success
CRB5146,2026-07-04,Ananya Reddy,u1721,Google Search,Jaipur,Pottery,12,2000,Completed,24000,19200.0,4.2,Yes,Customer Success
CRB5147,2026-07-04,Mark Thompson,u1724,Travel Blog,Udaipur,Pottery,2,2500,Completed,5000,4000.0,4.3,No,Traveler Success
CRB5148,2026-07-04,Rahul Mehta,u1730,Direct,Khurja,Weaving,6,3500,Completed,21000,16800.0,4.6,Yes,Traveler Success
CRB5149,2026-07-04,Ananya Reddy,u1734,Referral,Bangalore,Blue Pottery,12,2000,Completed,24000,19200.0,4.8,Yes,Revenue / Enterprise Team
CRB5150,2026-07-04,Rahul Mehta,u1736,Travel Blog,Jaipur,Warli Painting,6,3500,Completed,21000,16800.0,3.9,No,Traveler Success
CRB5151,2026-07-04,Rahul Mehta,u1739,Instagram,Khurja,Pottery,2,1500,Completed,3000,2400.0,4.6,No,Traveler Success
CRB5152,2026-07-04,Mark Thompson,u1741,Travel Blog,Jaipur,Blue Pottery,10,3500,Completed,35000,28000.0,4.8,Yes,Revenue / Enterprise Team
CRB5153,2026-07-04,Sofia Martinez,u1743,Instagram,Jaipur,Pottery,3,2500,Completed,7500,6000.0,4.7,Yes,Revenue / Enterprise Team
CRB5154,2026-07-04,Rahul Mehta,u1754,Google Search,Jaipur,Block Printing,3,1800,Completed,5400,4320.0,4.5,No,Revenue / Enterprise Team
CRB5155,2026-07-04,Priya Sharma,u1758,Travel Blog,Udaipur,Block Printing,1,3000,Completed,3000,2400.0,4.2,No,Revenue / Enterprise Team
CRB5156,2026-07-04,Sofia Martinez,u1759,Direct,Khurja,Weaving,10,2200,Completed,22000,17600.0,3.9,No,Customer Success
CRB5157,2026-07-04,Priya Sharma,u1762,Travel Blog,Khurja,Pottery,3,2500,Completed,7500,6000.0,4.1,No,Customer Success
CRB5158,2026-07-04,Ananya Reddy,u1770,Referral,Udaipur,Blue Pottery,3,2500,Completed,7500,6000.0,4.4,Yes,Customer Success
CRB5159,2026-07-04,Mark Thompson,u1771,Direct,Bangalore,Block Printing,4,1500,Completed,6000,4800.0,3.9,No,Traveler Success
CRB5160,2026-07-04,Ananya Reddy,u1782,Direct,Varanasi,Blue Pottery,3,3500,Completed,10500,8400.0,4.9,No,Traveler Success
CRB5161,2026-07-04,Mark Thompson,u1784,Instagram,Khurja,Weaving,6,2200,No-show,13200,0,,No,Revenue / Enterprise Team
CRB5162,2026-07-04,Sofia Martinez,u1789,Referral,Khurja,Blue Pottery,1,2200,Completed,2200,1760.0,4.1,No,Revenue / Enterprise Team
CRB5163,2026-07-04,Ananya Reddy,u1809,Google Search,Khurja,Pottery,12,2000,Completed,24000,19200.0,4.0,Yes,Revenue / Enterprise Team
CRB5164,2026-07-04,Priya Sharma,u1822,Referral,Varanasi,Warli Painting,1,1500,Completed,1500,1200.0,4.4,No,Revenue / Enterprise Team
CRB5165,2026-07-04,Mark Thompson,u1824,Direct,Bangalore,Warli Painting,12,2200,Completed,26400,21120.0,4.1,No,Traveler Success
CRB5166,2026-07-04,Mark Thompson,u1827,Google Search,Jaipur,Pottery,4,2500,Completed,10000,8000.0,3.9,No,Customer Success
CRB5167,2026-07-04,Priya Sharma,u1834,Direct,Khurja,Warli Painting,4,3000,Completed,12000,9600.0,4.1,No,Traveler Success
CRB5168,2026-07-04,Priya Sharma,u1844,Google Search,Varanasi,Pottery,12,3000,Completed,36000,28800.0,4.1,Yes,Traveler Success
CRB5169,2026-07-04,Mark Thompson,u1845,Direct,Varanasi,Warli Painting,4,2500,Completed,10000,8000.0,4.5,No,Traveler Success
CRB5170,2026-07-04,Sofia Martinez,u1846,Google Search,Jaipur,Blue Pottery,2,2200,Completed,4400,3520.0,4.9,No,Customer Success
CRB5171,2026-07-05,Rahul Mehta,u1852,Referral,Varanasi,Blue Pottery,12,2200,Completed,26400,21120.0,4.2,No,Revenue / Enterprise Team
CRB5172,2026-07-05,Rahul Mehta,u1857,Travel Blog,Bangalore,Weaving,2,3000,Cancelled,6000,0,,No,Traveler Success
CRB5173,2026-07-05,Sofia Martinez,u1858,Direct,Bangalore,Blue Pottery,4,2200,Completed,8800,7040.0,4.8,No,Customer Success
CRB5174,2026-07-05,Sofia Martinez,u1870,Google Search,Khurja,Block Printing,12,3000,Completed,36000,28800.0,3.9,No,Revenue / Enterprise Team
CRB5175,2026-07-05,Rahul Mehta,u1872,Direct,Udaipur,Blue Pottery,12,3500,Completed,42000,33600.0,4.1,No,Traveler Success
CRB5176,2026-07-05,Mark Thompson,u1873,Instagram,Bangalore,Blue Pottery,2,1800,Completed,3600,2880.0,4.8,No,Revenue / Enterprise Team
CRB5177,2026-07-05,Mark Thompson,u1875,Instagram,Bangalore,Warli Painting,1,2200,Completed,2200,1760.0,4.5,No,Customer Success
CRB5178,2026-07-05,Priya Sharma,u1879,Direct,Jaipur,Weaving,4,2000,Completed,8000,6400.0,4.8,Yes,Revenue / Enterprise Team
CRB5179,2026-07-05,Mark Thompson,u1883,Google Search,Udaipur,Blue Pottery,2,1800,Completed,3600,2880.0,3.9,Yes,Traveler Success
CRB5180,2026-07-05,Rahul Mehta,u1889,Travel Blog,Bangalore,Weaving,10,2200,Completed,22000,17600.0,4.7,No,Revenue / Enterprise Team
CRB5181,2026-07-05,Priya Sharma,u1891,Instagram,Jaipur,Blue Pottery,3,3000,Completed,9000,7200.0,3.8,Yes,Revenue / Enterprise Team
CRB5182,2026-07-05,Sofia Martinez,u1893,Google Search,Udaipur,Warli Painting,2,2000,Completed,4000,3200.0,3.9,No,Customer Success
CRB5183,2026-07-05,Mark Thompson,u1894,Referral,Varanasi,Pottery,10,2000,No-show,20000,0,,No,Traveler Success
CRB5184,2026-07-05,Priya Sharma,u1895,Travel Blog,Jaipur,Blue Pottery,12,1500,Completed,18000,14400.0,4.1,No,Revenue / Enterprise Team
